Timestamp,Throughput,LossRate,RTT,Latency,SendingRate,CongestionWindow
2024-05-30 07:36:42,47963,0.2136354087024316,0,0,871190.1417153528891504,3334.8000000000001819
2024-05-30 07:36:43,608160,0.0276830933137374,0,0,1030414.7154150767019019,502.0000000000000000
2024-05-30 07:36:44,537208,0.0078991144335542,0,0,949322.9438307326054201,502.0000000000000000
2024-05-30 07:36:45,671872,0.0047551457925769,0,0,888587.6827988835284486,502.0000000000000000
2024-05-30 07:36:46,858664,0.0031676066563125,0,0,909664.5627165855839849,502.0000000000000000
2024-05-30 07:36:47,877488,0.0022909549386115,0,0,989545.2372418775921687,502.0000000000000000
2024-05-30 07:36:48,1255416,0.0017173178439380,0,0,1043241.4533970969496295,502.0000000000000000
2024-05-30 07:36:49,1436416,0.0013016851360041,0,0,939221.2585366391576827,502.0000000000000000
2024-05-30 07:36:50,1715880,0.0010147599490433,0,0,989890.6237479784758762,502.0000000000000000
2024-05-30 07:36:51,1867920,0.0008108950260808,0,0,1001348.2780692115193233,502.0000000000000000
2024-05-30 07:36:52,2189376,0.0006609969699722,0,0,969961.0388230424141511,502.0000000000000000
2024-05-30 07:36:53,2552824,0.0005435456110194,0,0,970656.1831925365841016,502.0000000000000000
2024-05-30 07:36:54,3105960,0.0004485663316209,0,0,907599.4412135693710297,502.0000000000000000
2024-05-30 07:36:55,3777832,0.0003699303400922,0,0,946940.1779543547891080,502.0000000000000000
2024-05-30 07:36:56,4115216,0.0003078423337131,0,0,868017.4406101278727874,502.0000000000000000
2024-05-30 07:36:57,4368616,0.0002607772025230,0,0,839353.6495700498344377,502.0000000000000000
2024-05-30 07:36:58,5060760,0.0002229744046039,0,0,780951.6940413648262620,502.0000000000000000
2024-05-30 07:36:59,5356152,0.0001921292072232,0,0,788666.1453610352473333,502.0000000000000000
2024-05-30 07:37:00,5516880,0.0001678761960835,0,0,782118.2007871816167608,502.0000000000000000
2024-05-30 07:37:01,5567560,0.0001487328465538,0,0,778766.7304932442493737,502.0000000000000000
2024-05-30 07:37:02,4910168,0.0001342327551204,0,0,828071.8167508686892688,502.0000000000000000
2024-05-30 07:37:03,5373528,0.0001225494841307,0,0,846197.8940192764857784,502.0000000000000000
2024-05-30 07:37:04,5111440,0.0001125439135111,0,0,777919.4712647523265332,502.0000000000000000
2024-05-30 07:37:05,5496608,0.0001039706242745,0,0,803926.1949262553825974,502.0000000000000000
2024-05-30 07:37:06,5341672,0.0000964532416465,0,0,853121.5106259691528976,502.0000000000000000
2024-05-30 07:37:07,5344568,0.0000900373076958,0,0,790495.3385906334733590,502.0000000000000000
2024-05-30 07:37:08,5479232,0.0000843563666853,0,0,807753.3349612805759534,502.0000000000000000
2024-05-30 07:37:09,5356152,0.0000793425512061,0,0,855534.6931744067696854,502.0000000000000000
2024-05-30 07:37:10,5398144,0.0000749236323945,0,0,841216.6975178067805246,502.0000000000000000
2024-05-30 07:37:11,5729736,0.0000708431090309,0,0,821157.1243355477927253,502.0000000000000000
2024-05-30 07:37:12,5244656,0.0000672279889333,0,0,790182.8980136181926355,502.0000000000000000
2024-05-30 07:37:13,5503848,0.0000640310971877,0,0,817074.3859831396257505,502.0000000000000000
2024-05-30 07:37:14,5367736,0.0000610910915606,0,0,814748.3264992950716987,502.0000000000000000
2024-05-30 07:37:15,5217144,0.0000584775889762,0,0,836873.1547813212964684,502.0000000000000000
2024-05-30 07:37:16,5033248,0.0000561512707888,0,0,833663.1569265711586922,502.0000000000000000
2024-05-30 07:37:17,5451720,0.0000539567961797,0,0,787492.0350535104516894,502.0000000000000000
2024-05-30 07:37:18,5280856,0.0000518798739277,0,0,814349.7055569107178599,502.0000000000000000
2024-05-30 07:37:19,5398144,0.0000499670647974,0,0,830635.2086727984715253,502.0000000000000000
2024-05-30 07:37:20,5419864,0.0000481678208510,0,0,823458.5768858254887164,502.0000000000000000
2024-05-30 07:37:21,5285200,0.0000465102600020,0,0,847604.5562779357424006,502.0000000000000000
2024-05-30 07:37:22,5632720,0.0000449340635227,0,0,778198.5452688342193142,502.0000000000000000
2024-05-30 07:37:23,4926096,0.0000435065976178,0,0,769937.4563417675672099,502.0000000000000000
2024-05-30 07:37:24,5379320,0.0000421995136921,0,0,775819.2997098588384688,502.0000000000000000
2024-05-30 07:37:25,5141848,0.0000409428697870,0,0,804782.8122355714440346,502.0000000000000000
2024-05-30 07:37:26,5422760,0.0000397548880609,0,0,784755.1009515838231891,502.0000000000000000
2024-05-30 07:37:27,5163568,0.0000386311280842,0,0,777998.8418526450404897,502.0000000000000000
2024-05-30 07:37:28,5172256,0.0000375938445661,0,0,827637.9914041477022693,502.0000000000000000
2024-05-30 07:37:29,5228728,0.0000366048191958,0,0,836480.2848690914688632,502.0000000000000000
2024-05-30 07:37:30,5215696,0.0000356625048851,0,0,842399.5437052432680503,502.0000000000000000
2024-05-30 07:37:31,5496608,0.0000347453503562,0,0,814649.5001830155961215,502.0000000000000000
2024-05-30 07:37:32,5165016,0.0000338779076155,0,0,820590.7350012881215662,502.0000000000000000
2024-05-30 07:37:33,5712360,0.0000330369003133,0,0,835693.0726860394934192,502.0000000000000000
2024-05-30 07:37:34,5086824,0.0000322416598310,0,0,845564.6964252830948681,502.0000000000000000
2024-05-30 07:37:35,5490816,0.0000314996459000,0,0,824773.2230817408999428,502.0000000000000000
2024-05-30 07:37:36,5183840,0.0000307841182841,0,0,810358.5749797889729962,502.0000000000000000
2024-05-30 07:37:37,5325744,0.0000301109219240,0,0,851925.6539160254178569,502.0000000000000000
