Second,Latency,Throughput,Loss,CongestionWindow,RTT,SendingRate
0,,0,0,,,
1,,0,0,,,
2,,0,0,,,
3,,0,0,,,
4,0.00019177634228942215,2678979,0,570.5354838709677,,2678979.0
5,0.0001491233182962138,9685672,0,502.0,,9685672.0
6,0.0002625611716748663,5506744,0,502.0,,5506744.0
7,0.0004885925251870151,2956816,0,502.0,,2956816.0
8,0.0010367169038851193,1335056,0,502.0,,1335056.0
9,0.002856994020766106,499560,0,502.0,,499560.0
10,0.005327177047729492,260640,0,502.0,,260640.0
11,0.006734849815081833,192584,0,502.0,,192584.0
12,0.008968049003964378,152040,0,502.0,,152040.0
13,0.010990988376528718,124528,0,502.0,,124528.0
14,0.01132342517375946,115840,0,502.0,,115840.0
15,0.018082506802617287,70952,0,502.0,,70952.0
16,0.01018515523973402,131768,0,502.0,,131768.0
17,0.009355438323248,152040,0,502.0,,152040.0
18,0.008023548126220702,166520,0,502.0,,166520.0
19,0.0076166954040527346,181000,0,502.0,,181000.0
20,0.00705355065209525,202720,0,502.0,,202720.0
21,0.00648413340250651,217200,0,502.0,,217200.0
22,0.005326923164161476,267880,0,502.0,,267880.0
23,0.005689277956562658,224440,0,502.0,,224440.0
24,0.0069713592529296875,201272,0,502.0,,201272.0
25,0.0059188582141947305,233128,0,502.0,,233128.0
26,0.005743528134895094,238920,0,502.0,,238920.0
27,0.0071195544618548766,191136,0,502.0,,191136.0
28,0.006755398703621818,207064,0,502.0,,207064.0
29,0.007165591533367451,188240,0,502.0,,188240.0
30,0.006897749172316657,208512,0,502.0,,208512.0
31,0.006779589551560422,204168,0,502.0,,204168.0
32,0.006738434166743837,209960,0,502.0,,209960.0
33,0.008364989757537841,144800,0,502.0,,144800.0
34,0.005549952563117532,246160,0,502.0,,246160.0
35,0.005365710788302952,260640,0,502.0,,260640.0
36,0.004402400146831166,318560,0,502.0,,318560.0
37,0.004303366638893305,311320,0,502.0,,311320.0
38,0.003460775341903954,412680,0,502.0,,412680.0
39,0.0030441343784332275,463360,0,502.0,,463360.0
40,0.0028866447619537807,485080,0,502.0,,485080.0
41,0.0027106137342855965,514040,0,502.0,,514040.0
42,0.0027518118581464214,493768,0,502.0,,493768.0
43,0.0026009254455566407,543000,0,502.0,,543000.0
44,0.0024239604855761116,586440,0,502.0,,586440.0
45,0.002274049189818767,621192,0,502.0,,621192.0
46,0.00232374149820079,599472,0,502.0,,599472.0
47,0.0021793735640694366,647256,0,502.0,,647256.0
48,0.002523052064996017,550240,0,502.0,,550240.0
49,0.002231767345941148,635672,0,502.0,,635672.0
50,0.003264323075612386,434400,0,502.0,,434400.0
51,0.0020812072593960874,690696,0,502.0,,690696.0
52,0.0015903348845194994,890520,0,502.0,,890520.0
53,0.001653460045336827,812328,0,502.0,,812328.0
54,0.0014106292616237295,1019392,0,502.0,,1019392.0
55,0.0014523763296216032,996224,0,502.0,,996224.0
56,0.001212218884025846,1177224,0,502.0,,1177224.0
57,0.0010567386685373477,1329264,0,502.0,,1329264.0
58,0.0010331012308597565,1390080,0,502.0,,1390080.0
59,0.0008577806623839004,1663752,0,502.0,,1663752.0
60,0.0008502323069470994,1701400,0,502.0,,1701400.0
61,0.0006992180354196694,2044576,0,502.0,,2044576.0
62,0.0006962393183684899,2074984,0,502.0,,2074984.0
63,0.0006437953128371128,2241504,0,502.0,,2241504.0
64,0.0005884751240555075,2419608,0,502.0,,2419608.0
65,0.0005364026945358401,2657080,0,502.0,,2657080.0
66,0.0008406832902538484,1710088,0,502.0,,1710088.0
67,0.0005536895542166182,2580336,0,502.0,,2580336.0
68,0.0004868254818245147,2952472,0,502.0,,2952472.0
69,0.0004469762468551841,3229040,0,502.0,,3229040.0
70,0.00040845890474221945,3540360,0,502.0,,3540360.0
71,0.0004147172914396534,3488232,0,502.0,,3488232.0
72,0.00036213050466071356,3993584,0,502.0,,3993584.0
73,0.0003455898348292334,4183272,0,502.0,,4183272.0
74,0.0003383842447599851,4277392,0,502.0,,4277392.0
75,0.00030339151304299987,4771160,0,502.0,,4771160.0
76,0.0003066030599303165,4698760,0,502.0,,4698760.0
77,0.00047956725495951685,2961160,0,502.0,,2961160.0
78,0.00028552593852455025,5005736,0,502.0,,5005736.0
79,0.0002893490031145621,4994152,0,502.0,,4994152.0
80,0.0002700974530410249,5335880,0,502.0,,5335880.0
81,0.00026768880686458543,5357600,0,502.0,,5357600.0
82,0.00027189636757360636,5240312,0,502.0,,5240312.0
83,0.0002905442734256579,4939128,0,502.0,,4939128.0
84,0.00028120282670141943,5137504,0,502.0,,5137504.0
85,0.0002610129449980961,5457512,0,502.0,,5457512.0
86,0.00027085421760920784,5251896,0,502.0,,5251896.0
87,0.00028535925894933,5057864,0,502.0,,5057864.0
88,0.0008241825578618347,1743392,0,502.0,,1743392.0
89,0.0002768331739519324,5189632,0,502.0,,5189632.0
90,0.0002769232461495059,5188184,0,502.0,,5188184.0
91,0.0002824421395087452,5095512,0,502.0,,5095512.0
92,0.00028322482931202855,5079584,0,502.0,,5079584.0
93,0.000301733005446489,4792880,0,502.0,,4792880.0
94,0.0002929953248296026,4937680,0,502.0,,4937680.0
95,0.00027639508147451526,5180944,0,502.0,,5180944.0
96,0.0003019039358597241,4779848,0,502.0,,4779848.0
97,0.0002916399879388681,4953608,0,502.0,,4953608.0
98,0.00028358500007923,5041936,0,502.0,,5041936.0
99,0.0006740564881823324,2130008,0,502.0,,2130008.0
100,0.0002575419641310169,5611000,0,502.0,,5611000.0
101,0.00028861496605071715,5004288,0,502.0,,5004288.0
102,0.00026026130133770795,5456064,0,502.0,,5456064.0
103,0.00028642290552982727,5034696,0,502.0,,5034696.0
104,0.00027985858971484013,5088272,0,502.0,,5088272.0
105,0.0002634024237566453,5415520,0,502.0,,5415520.0
106,0.0002811479192172527,5134608,0,502.0,,5134608.0
107,0.00025504573376957236,5668920,0,502.0,,5668920.0
108,0.0002812585059037705,5134608,0,502.0,,5134608.0
109,0.0002649901503577278,5290992,0,502.0,,5290992.0
