Timestamp,Throughput,LossRate,RTT,Latency,SendingRate,CongestionWindow
2024-05-30 07:18:33,7900467,0.0038876030064619,0,0,447535.5749598453403451,525.3216245883644433
2024-05-30 07:18:34,9798616,0.0003571181607519,0,0,440880.3419040421140380,502.0000000000000000
2024-05-30 07:18:35,9986856,0.0001944783947916,0,0,460156.1716409209184349,502.0000000000000000
2024-05-30 07:18:36,9239688,0.0001353292951469,0,0,451500.0502890996285714,502.0000000000000000
2024-05-30 07:18:37,8750264,0.0001055370901756,0,0,496937.1246090938802809,502.0000000000000000
2024-05-30 07:18:38,6885240,0.0000885572274124,0,0,525893.9749553134897724,502.0000000000000000
2024-05-30 07:18:39,4105080,0.0000795560975982,0,0,561046.1993976032827049,502.0000000000000000
2024-05-30 07:18:40,1407456,0.0000757030671200,0,0,684023.7591065804008394,502.0000000000000000
2024-05-30 07:18:41,819568,0.0000742595594460,0,0,554812.4689281542086974,502.0000000000000000
2024-05-30 07:18:42,600920,0.0000733682013137,0,0,573061.5489071846241131,502.0000000000000000
2024-05-30 07:18:43,254848,0.0000728412806750,0,0,600699.5744497425621375,502.0000000000000000
2024-05-30 07:18:44,574856,0.0000723385153701,0,0,539839.3646786237368360,502.0000000000000000
2024-05-30 07:18:45,629880,0.0000716202005705,0,0,521215.7152139680692926,502.0000000000000000
2024-05-30 07:18:46,738480,0.0000708215492770,0,0,506026.3785524592385627,502.0000000000000000
2024-05-30 07:18:47,860112,0.0000699108162497,0,0,414830.9166128923534416,502.0000000000000000
2024-05-30 07:18:48,907896,0.0000689302641353,0,0,501080.2336568141472526,502.0000000000000000
2024-05-30 07:18:49,986088,0.0000679099850501,0,0,491351.5604156055487692,502.0000000000000000
2024-05-30 07:18:50,1155504,0.0000667923572398,0,0,470994.8812296224641614,502.0000000000000000
2024-05-30 07:18:51,1352432,0.0000655294939031,0,0,497693.4336414975114167,502.0000000000000000
2024-05-30 07:18:52,1319128,0.0000642349881283,0,0,490743.1726714294636622,502.0000000000000000
2024-05-30 07:18:53,1424832,0.0000629580107467,0,0,481774.1728827411425300,502.0000000000000000
2024-05-30 07:18:54,1615968,0.0000616011761276,0,0,454107.1031214509275742,502.0000000000000000
2024-05-30 07:18:55,1685472,0.0000601923330148,0,0,432746.1442481734557077,502.0000000000000000
2024-05-30 07:18:56,1798416,0.0000587739960483,0,0,482556.1741802688338794,502.0000000000000000
2024-05-30 07:18:57,1833168,0.0000573647263216,0,0,492787.3894997441675514,502.0000000000000000
2024-05-30 07:18:58,2002584,0.0000559482005527,0,0,479591.9618893220322207,502.0000000000000000
2024-05-30 07:18:59,1440760,0.0000547330447789,0,0,446523.9148062705644406,502.0000000000000000
2024-05-30 07:19:00,1969280,0.0000535831527133,0,0,475892.0941988122067414,502.0000000000000000
2024-05-30 07:19:01,2085120,0.0000522762026403,0,0,539303.5138168314006180,502.0000000000000000
2024-05-30 07:19:02,2406576,0.0000509012970095,0,0,558758.7465714107966051,502.0000000000000000
2024-05-30 07:19:03,2613640,0.0000494474046150,0,0,494174.4173045078059658,502.0000000000000000
2024-05-30 07:19:04,2791744,0.0000479719485137,0,0,498137.3440973149845377,502.0000000000000000
2024-05-30 07:19:05,3098720,0.0000464615001332,0,0,484122.4122774638817646,502.0000000000000000
2024-05-30 07:19:06,3369496,0.0000449086702160,0,0,472863.2953523909091018,502.0000000000000000
2024-05-30 07:19:07,3278272,0.0000434163966158,0,0,465515.1759802474989556,502.0000000000000000
2024-05-30 07:19:08,3635928,0.0000419670516980,0,0,461508.5227886522188783,502.0000000000000000
2024-05-30 07:19:09,3896568,0.0000404941065507,0,0,465102.6376869629602879,502.0000000000000000
2024-05-30 07:19:10,1736152,0.0000394547747591,0,0,496183.0311925112036988,502.0000000000000000
2024-05-30 07:19:11,3705432,0.0000385059704988,0,0,461380.8736139211105183,502.0000000000000000
2024-05-30 07:19:12,2945232,0.0000374021924487,0,0,479082.4365812307805754,502.0000000000000000
2024-05-30 07:19:13,2101048,0.0000366059637739,0,0,517149.0473773152334616,502.0000000000000000
2024-05-30 07:19:14,1857784,0.0000360051759535,0,0,493522.5763347587198950,502.0000000000000000
2024-05-30 07:19:15,1313336,0.0000355377864872,0,0,537716.9270688288379461,502.0000000000000000
2024-05-30 07:19:16,1333608,0.0000351571406205,0,0,536706.9505838969489560,502.0000000000000000
2024-05-30 07:19:17,706624,0.0000348690153939,0,0,603668.1912880595773458,502.0000000000000000
2024-05-30 07:19:18,676216,0.0000346765527489,0,0,520420.6174409445375204,502.0000000000000000
2024-05-30 07:19:19,540104,0.0000345089907552,0,0,519228.6382775545353070,502.0000000000000000
2024-05-30 07:19:20,435848,0.0000343757144288,0,0,547160.9996772850863636,502.0000000000000000
2024-05-30 07:19:21,376480,0.0000342655717460,0,0,501204.0089487715158612,502.0000000000000000
2024-05-30 07:19:22,243264,0.0000341820067794,0,0,371637.3033222648664378,502.0000000000000000
2024-05-30 07:19:23,463360,0.0000340872667729,0,0,442728.0492991783539765,502.0000000000000000
2024-05-30 07:19:24,544448,0.0000339530263664,0,0,426331.8814508437644690,502.0000000000000000
2024-05-30 07:19:25,569064,0.0000338059194410,0,0,389462.7894298161845654,502.0000000000000000
2024-05-30 07:19:26,690696,0.0000336410414425,0,0,498889.7335249040625058,502.0000000000000000
2024-05-30 07:19:27,751512,0.0000334542333314,0,0,470194.0487481490126811,502.0000000000000000
2024-05-30 07:19:28,821016,0.0000332528971451,0,0,474865.5847722853068262,502.0000000000000000
