Timestamp,Throughput,LossRate,RTT,SendingRate,CCAs
2024-01-01 00:00:00,142.0,71.4285714285714,169.125,32867752.0,1
2024-01-01 00:00:01,5011565.0,23.5141373341027,58.162,54249648.0,1
2024-01-01 00:00:02,6650664.0,18.5499673416068,17.168,72235968.0,1
2024-01-01 00:00:03,9349736.0,14.2790769707294,21.14,81283632.0,1
2024-01-01 00:00:04,9931832.0,12.8298585799679,20.876,87062640.0,1
2024-01-01 00:00:05,10254736.0,12.4206069160198,21.157,89437120.0,1
2024-01-01 00:00:06,10479176.0,12.2911200110482,21.321,86627136.0,1
2024-01-01 00:00:07,10716648.0,11.4382174206617,21.775,85536528.0,1
2024-01-01 00:00:08,9800064.0,12.5664500886001,23.959,88783600.0,1
2024-01-01 00:00:09,11067064.0,12.2254184100418,23.198,90200176.0,1
2024-01-01 00:00:10,10537096.0,11.2637362637363,20.734,85778768.0,1
2024-01-01 00:00:11,10370576.0,12.8244487859336,22.803,83442208.0,1
2024-01-01 00:00:12,10007128.0,12.593984962406,21.37,87910480.0,1
2024-01-01 00:00:13,10188128.0,11.7772410853814,22.542,80183552.0,1
2024-01-01 00:00:14,10224328.0,13.0644019815994,22.149,84264768.0,1
2024-01-01 00:00:15,9517704.0,12.8041362530414,20.991,73557760.0,1
2024-01-01 00:00:16,8858864.0,13.2821434406143,21.44,81636992.0,1
2024-01-01 00:00:17,9632096.0,13.8671875,22.005,81006112.0,1
2024-01-01 00:00:18,10044776.0,13.2583945813518,22.301,82496944.0,1
2024-01-01 00:00:19,9769656.0,12.7240408828322,21.448,87402304.0,1
2024-01-01 00:00:20,10593568.0,12.4590163934426,22.203,81333664.0,1
2024-01-01 00:00:21,9317880.0,12.7213420316869,21.013,81527984.0,1
2024-01-01 00:00:22,9658160.0,13.5151333533114,23.079,84871424.0,1
2024-01-01 00:00:23,10453112.0,12.7094005260972,23.376,79831776.0,1
2024-01-01 00:00:24,9209280.0,13.2798994185133,21.785,85015712.0,1
2024-01-01 00:00:25,10499448.0,12.6671261199173,24.512,81091952.0,1
2024-01-01 00:00:26,9257064.0,13.1311552290136,21.567,79517392.0,1
2024-01-01 00:00:27,9624856.0,13.593984962406,22.534,73194400.0,1
2024-01-01 00:00:28,8619944.0,13.8179986568167,21.811,78558160.0,1
2024-01-01 00:00:29,9395840.0,14.6487985212569,23.072,75398784.0,1
2024-01-01 00:00:30,9288920.0,14.7374980526562,21.366,79771744.0,1
2024-01-01 00:00:31,9226656.0,13.9585947302384,20.272,68701376.0,1
2024-01-01 00:00:32,8593880.0,15.5944762546312,18.876,79201952.0,1
2024-01-01 00:00:33,9354080.0,14.0315594059406,22.615,75931712.0,1
2024-01-01 00:00:34,8844384.0,14.7439044346261,20.217,72395008.0,1
2024-01-01 00:00:35,8614152.0,14.4825268817204,19.373,73376608.0,1
2024-01-01 00:00:36,8815424.0,15.2684288294205,19.582,68203728.0,1
2024-01-01 00:00:37,8089976.0,15.9033989266547,19.059,68543920.0,1
2024-01-01 00:00:38,8034952.0,16.2463976945245,19.12,65744992.0,1
2024-01-01 00:00:39,8808184.0,17.1705553729872,18.867,73339744.0,1
2024-01-01 00:00:40,7848160.0,14.6809295462929,18.905,60428352.0,1
2024-01-01 00:00:41,7234208.0,17.4434886977395,18.332,59615792.0,1
2024-01-01 00:00:42,7212488.0,18.8641380694361,18.212,59168704.0,1
2024-01-01 00:00:43,7216832.0,18.5519454472523,17.855,56442976.0,1
2024-01-01 00:00:44,6375544.0,18.2251475261008,14.6,58381424.0,1
