Timestamp,Throughput,LossRate,Latency,SendingRate,CCAs
2024-05-30 05:59:18,8605643,0.0036125752065705,0.0002766261812189,462352.0772933720,BBR
2024-05-30 05:59:19,10015816,0.0003343755622636,0.0002620788354718,482968.05288562900,BBR
2024-05-30 05:59:20,7806168,0.000194689564576,0.0002769722151318,473153.500191853,BBR
2024-05-30 05:59:21,6004856,0.0001480434043148,0.0003756173524652,563905.9272468980,BBR
2024-05-30 05:59:22,3835752,0.0001265377494133,0.0003489724940903,546822.6136127360,BBR
2024-05-30 05:59:23,693592,0.0001185946807319,0.0003440882419717,536206.9923330870,BBR
2024-05-30 05:59:24,1136680,0.0001157094054829,0.0003091663476301,532932.7229023440,BBR
2024-05-30 05:59:25,755856,0.0001128598291342,0.0002918611523064,668301.1077738520,BBR
2024-05-30 05:59:26,573408,0.0001109425739779,0.0003118819028288,741689.7031157060,BBR
2024-05-30 05:59:27,432952,0.0001095341120261,0.0003927450406221,678985.1712967480,BBR
2024-05-30 05:59:28,1216320,0.0001073099665107,0.000346274934463,618105.1767032920,BBR
2024-05-30 05:59:29,4131144,0.0001007295757909,0.0002809848344332,571491.4356389000,BBR
2024-05-30 05:59:30,5059312,9.1049494384e-05,0.0002829945641183,570940.9670670040,BBR
2024-05-30 05:59:31,5117232,8.22663112707e-05,0.0002777932681304,553102.7393074210,BBR
2024-05-30 05:59:32,5535704,7.47279255246e-05,0.0002991772537183,546738.946753148,BBR
2024-05-30 05:59:33,4970984,6.85188924974e-05,0.0003799743399359,615590.2054430090,BBR
2024-05-30 05:59:34,2654184,6.46071851861e-05,0.0002941539124497,481818.0708353380,BBR
2024-05-30 05:59:35,4494592,6.13583768666e-05,0.0002944068202265,522992.7842346780,BBR
2024-05-30 05:59:36,4348344,5.77494635e-05,0.0002816462920883,491780.8899496250,BBR
2024-05-30 05:59:37,4933336,5.43966433771e-05,0.0002778534795723,520398.8688949870,BBR
2024-05-30 05:59:38,4701656,5.12996096917e-05,0.0003838102361382,575110.7008392650,BBR
