episode,total_reward,loss,accuracy
1,-188.03818062629057,1.8689480274915695,0.46875
2,-182.83406064363464,2.012204730301164,0.375
3,-191.9412706132825,1.295925810594781,0.59375
4,-180.23200065230665,1.534312557283556,0.40625
5,-184.13509063929862,2.591293909194974,0.78125
6,-180.23200065230668,2.1563155832045595,0.625
7,-193.24230060894646,3.6840102866408415,0.71875
8,-186.73715063062656,4.018838944612071,0.6875
9,-195.84436060027443,2.951248590252362,0.8125
10,-178.9309706566427,3.2851726191001944,0.8125
11,-180.23200065230668,5.535986550152302,0.625
12,-182.83406064363464,3.7799284275388345,0.78125
13,-180.23200065230668,4.463785694910257,0.71875
14,-171.1247906826588,4.865254786331207,0.71875
15,-180.23200065230668,5.223546365494258,0.71875
16,-178.9309706566427,3.147974949748459,0.6875
17,-185.43612063496258,3.8294721504935296,0.78125
18,-180.23200065230668,2.9896724830032326,0.75
19,-182.83406064363464,2.3227199153625406,0.875
20,-188.03818062629057,2.5642156517133117,0.78125
21,-180.23200065230668,2.4053539175947662,0.78125
22,-177.62994066097872,1.718858281019493,0.65625
23,-184.13509063929862,2.0723171947174706,0.40625
24,-173.72685067398677,3.091814454877749,0.5625
25,-186.7371506306266,3.6152072638772097,0.75
26,-185.4361206349626,3.4364782725460827,0.84375
27,-177.62994066097875,3.5972898566978984,0.75
28,-184.13509063929862,3.3266491021204274,0.6875
29,-176.32891066531474,4.58170372206223,0.5
30,-175.02788066965076,3.415348266426008,0.71875
31,-173.72685067398677,2.494920595025178,0.65625
32,-176.32891066531474,2.6183740751348523,0.75
33,-175.02788066965076,1.7794829171616584,0.84375
34,-184.13509063929862,1.3888680059044418,0.84375
35,-176.32891066531477,1.8097183373902226,0.6875
36,-168.52273069133088,1.5480060392146697,0.75
37,-176.32891066531474,2.3660021033501835,0.71875
38,-172.4258206783228,1.423643208181602,0.84375
39,-176.3289106653147,1.3643800323179676,0.78125
40,-177.62994066097872,1.6993674173490945,0.6875
41,-184.13509063929862,1.8834170762711437,0.875
42,-172.4258206783228,0.7981267067120825,0.9375
43,-177.6299406609787,0.8844145724942791,0.90625
44,-171.12479068265884,1.332281174705713,0.59375
45,-178.93097065664273,1.8683421593450475,0.5625
46,-163.31861070867495,2.0009609447442926,0.8125
47,-163.31861070867495,1.676091751025524,0.6875
48,-169.82376068699483,1.3557377721595003,0.84375
49,-168.52273069133085,0.7762998760541109,0.78125
50,-173.72685067398677,1.086692381226385,0.875
51,-185.4361206349626,0.7288067682166002,0.96875
52,-171.12479068265884,0.5665056058007849,0.9375
53,-171.1247906826588,0.4549460561975138,0.96875
54,-169.82376068699486,0.3948039334572968,0.96875
55,-181.53303064797066,0.1951383367231756,0.96875
56,-171.1247906826588,0.27183002117089927,0.96875
57,-178.9309706566427,0.384503391051112,0.96875
58,-177.62994066097872,0.36818560316896765,1.0
59,-180.23200065230668,0.37113049129584397,0.90625
60,-167.2217006956669,0.24475533545728467,0.96875
61,-177.62994066097872,0.34979224717244506,0.9375
62,-171.12479068265884,0.4186865386473073,0.90625
63,-164.6196407043389,0.28054532897891704,0.96875
64,-156.81346073035505,0.19041333489803947,1.0
65,-178.93097065664273,0.24151942009666527,1.0
66,-167.22170069566687,0.19468365811553667,1.0
67,-160.716550717347,0.11231127341943647,1.0
68,-172.42582067832282,0.12998050652822712,1.0
69,-167.22170069566687,0.13043651491716446,1.0
70,-167.22170069566687,0.2393249328706588,1.0
71,-165.92067070000292,0.12129124701209548,1.0
72,-159.415520721683,0.04352859591540437,1.0
73,-171.1247906826588,0.039941415455359675,1.0
74,-164.61964070433893,0.06820936602343863,1.0
75,-172.4258206783228,0.055688368703215474,1.0
76,-164.6196407043389,0.017976616494763675,1.0
77,-154.21140073902708,0.03242323564882099,1.0
78,-168.52273069133088,0.03434785325686107,1.0
79,-160.716550717347,0.06069786699845281,1.0
80,-168.52273069133085,0.05459566853443221,1.0
81,-165.92067070000292,0.018740614610635475,1.0
82,-164.6196407043389,0.045659195986957,1.0
83,-167.2217006956669,0.022916220733634418,1.0
84,-167.2217006956669,0.02003326414876483,1.0
85,-162.01758071301097,0.037659012595042896,1.0
86,-172.4258206783228,0.025048283105263636,1.0
87,-151.60934074769912,0.01744978872699221,1.0
88,-150.30831075203517,0.027259573177673246,1.0
89,-156.81346073035505,0.023866120499178578,1.0
90,-163.31861070867495,0.01756470979671576,1.0
