Timestamp,Throughput,LossRate,Latency,SendingRate
2024-05-30 07:36:42,47963,0.2136354087024316,0.0002781678121754,871190.141715353
2024-05-30 07:36:43,608160,0.0276830933137374,0.0002620969821938,1030414.7154150768
2024-05-30 07:36:44,537208,0.0078991144335542,0.0002851165850341,949322.9438307326
2024-05-30 07:36:45,671872,0.0047551457925769,0.0002675171573786,888587.6827988835
2024-05-30 07:36:46,858664,0.0031676066563125,0.0002725869623292,909664.5627165856
2024-05-30 07:36:47,877488,0.0022909549386115,0.0002719146112052,989545.2372418776
2024-05-30 07:36:48,1255416,0.001717317843938,0.0002757735643665,1043241.4533970968
2024-05-30 07:36:49,1436416,0.0013016851360041,0.000277029872107,939221.2585366392
2024-05-30 07:36:50,1715880,0.0010147599490433,0.0002779100892539,989890.6237479784
2024-05-30 07:36:51,1867920,0.0008108950260808,0.0002616079525621,1001348.2780692116
2024-05-30 07:36:52,2189376,0.0006609969699722,0.0002753763858761,969961.0388230424
2024-05-30 07:36:53,2552824,0.0005435456110194,0.0002731476106354,970656.1831925364
2024-05-30 07:36:54,3105960,0.0004485663316209,0.0002628508695518,907599.4412135693
2024-05-30 07:36:55,3777832,0.0003699303400922,0.0002641767956489,946940.1779543548
2024-05-30 07:36:56,4115216,0.0003078423337131,0.0002805523844255,868017.4406101279
2024-05-30 07:36:57,4368616,0.000260777202523,0.0002697887880941,839353.6495700497
2024-05-30 07:36:58,5060760,0.0002229744046039,0.0002762794231037,780951.6940413648
2024-05-30 07:36:59,5356152,0.0001921292072232,0.0002592444698314,788666.1453610352
2024-05-30 07:37:03,5373528,0.0001225494841307,0.0065241958945989,846197.8940192765
2024-05-30 07:37:04,5111440,0.0001125439135111,0.002146858139606,777919.4712647523
2024-05-30 07:37:05,5496608,0.0001039706242745,0.0023773029101844,803926.1949262554
2024-05-30 07:37:06,5341672,9.64532416465e-05,0.002007924142431,853121.5106259692
2024-05-30 07:37:07,5344568,9.00373076958e-05,0.0019139255193923,790495.3385906335
2024-05-30 07:37:08,5479232,8.43563666853e-05,0.0013429223274698,807753.3349612805
2024-05-30 07:37:09,5356152,7.93425512061e-05,0.0011628043050643,855534.6931744068
2024-05-30 07:37:10,5398144,7.49236323945e-05,0.0009117702861408,841216.6975178067
2024-05-30 07:37:11,5729736,7.08431090309e-05,0.0008036041881051,821157.1243355478
2024-05-30 07:37:12,5244656,6.72279889333e-05,0.0006997733305172,790182.8980136182
2024-05-30 07:37:13,5503848,6.40310971877e-05,0.0006680691665966,817074.3859831395
2024-05-30 07:37:14,5367736,6.10910915606e-05,0.0005246230534144,814748.3264992951
2024-05-30 07:37:15,5217144,5.84775889762e-05,0.0004688980455082,836873.1547813214
2024-05-30 07:37:16,5033248,5.61512707888e-05,0.0003599731959281,833663.156926571
2024-05-30 07:37:17,5451720,5.39567961797e-05,0.0003732920049107,787492.0350535105
2024-05-30 07:37:18,5280856,5.18798739277e-05,0.0002999568058002,814349.7055569107
2024-05-30 07:37:19,5398144,4.99670647974e-05,0.0002722619562355,830635.2086727984
2024-05-30 07:37:20,5419864,4.8167820851e-05,0.0002737951959508,823458.5768858256
2024-05-30 07:37:21,5285200,4.6510260002e-05,0.0002537628653829,847604.5562779356
2024-05-30 07:37:22,5632720,4.49340635227e-05,0.0002845273679588,778198.5452688342
2024-05-30 07:37:23,4926096,4.35065976178e-05,0.0002742929160103,769937.4563417676
2024-05-30 07:37:24,5379320,4.21995136921e-05,0.0002784566913816,775819.2997098588
2024-05-30 07:37:25,5141848,4.0942869787e-05,0.00027366287737,804782.8122355713
2024-05-30 07:37:26,5422760,3.97548880609e-05,0.000261742127569,784755.1009515838
2024-05-30 07:37:27,5163568,3.86311280842e-05,0.000270931626919,777998.8418526449
2024-05-30 07:37:28,5172256,3.75938445661e-05,0.0002735052145384,827637.9914041477
2024-05-30 07:37:29,5228728,3.66048191958e-05,0.0002609447358447,836480.2848690914
2024-05-30 07:37:30,5215696,3.56625048851e-05,0.0002695222991406,842399.5437052432
2024-05-30 07:37:31,5496608,3.47453503562e-05,0.0002600910824371,814649.5001830157
2024-05-30 07:37:32,5165016,3.38779076155e-05,0.0002577552869819,820590.7350012881
2024-05-30 07:37:33,5712360,3.30369003133e-05,0.0002756010823779,835693.0726860395
2024-05-30 07:37:34,5086824,3.2241659831e-05,0.0002540297787304,845564.6964252832
2024-05-30 07:37:35,5490816,3.14996459e-05,0.0002784701645491,824773.223081741
2024-05-30 07:37:36,5183840,3.07841182841e-05,0.0002814441952925,810358.574979789
2024-05-30 07:37:37,5325744,3.0110921924e-05,0.0002727706629775,851925.6539160254
2024-05-30 07:37:38,5357600,2.94561617482e-05,0.0002730548610676,832487.086031017
2024-05-30 07:37:39,5618240,2.88125877351e-05,0.0002689558166405,866649.9836334233
2024-05-30 07:37:40,5764488,2.81740859028e-05,0.0002797737901181,885137.0290602677
2024-05-30 07:37:41,5370632,2.75760633723e-05,0.0002550339863134,827897.4686451686
2024-05-30 07:37:42,5432896,2.7019847963e-05,0.0002781678121754,880666.4533888211
2024-05-30 07:37:43,5364840,2.64857961251e-05,0.0002620969821938,834819.0076048429
2024-05-30 07:37:44,5233072,2.59817411364e-05,0.0002851165850341,880287.211503096
2024-05-30 07:37:45,5114336,2.55078367323e-05,0.0002675171573786,884475.4873171285
2024-05-30 07:37:46,5458960,2.50412477018e-05,0.0002725869623292,833080.1932921449
2024-05-30 07:37:47,5170808,2.45889020569e-05,0.0002719146112052,830618.7828649079
