Timestamp,Throughput,LossRate,Latency,SendingRate,time,CCA
2024-05-30 07:32:36,8921128,1.32410304568e-05,0.0001532745008768,460544.80351952254,56.0,CUBIC
2024-05-30 07:32:37,8646008,1.30315657539e-05,0.0001554799648177,463163.1060579608,57.0,CUBIC
2024-05-30 07:32:38,8767640,1.28303937948e-05,0.0001567531484582,458172.0692703991,58.0,CUBIC
2024-05-30 07:32:39,8076944,1.26415717787e-05,0.0001683792468874,477030.9023658084,59.0,CUBIC
2024-05-30 07:32:40,8123280,1.24651768269e-05,0.0001546188008667,493767.40731502656,60.0,CUBIC
2024-05-30 07:32:41,8650352,1.22876936508e-05,0.0001616444023555,451473.28930796566,61.0,CUBIC
2024-05-30 07:32:42,7982824,1.21165606644e-05,0.0001679003559133,481186.1424607699,62.0,CUBIC
2024-05-30 07:32:43,7248688,1.19639550803e-05,0.0001639737379881,490311.46376620285,63.0,CUBIC
2024-05-30 07:32:44,7208144,1.18226615923e-05,0.0001770576125607,472943.7174833284,64.0,CUBIC
2024-05-30 07:32:45,7193664,1.16852000717e-05,0.0001791347172487,469996.117869104,65.0,CUBIC
2024-05-30 07:32:46,6442152,1.1557922894e-05,0.000164207055151,470480.4161798786,66.0,CUBIC
2024-05-30 07:32:47,6989496,1.14352743121e-05,0.0001832063855037,451753.7859308068,67.0,CUBIC
2024-05-30 07:32:48,6621704,1.13135852781e-05,0.0001999229687551,484312.6962407743,68.0,CUBIC
2024-05-30 07:32:49,5593624,1.12065357616e-05,0.0002002958167204,482520.3982016415,69.0,CUBIC
2024-05-30 07:32:50,5813720,1.11084200957e-05,0.0002003357298537,504661.1324483779,70.0,CUBIC
2024-05-30 07:32:51,6207576,1.10068850344e-05,0.0002269021933369,474947.9887344385,71.0,CUBIC
2024-05-30 07:32:52,8008888,1.08892145221e-05,0.0002053479864075,464277.85839063086,72.0,CUBIC
2024-05-30 07:32:53,6072912,1.07749950026e-05,0.0002157363929312,487907.706354544,73.0,CUBIC
2024-05-30 07:32:54,5771728,1.0680801352e-05,0.000247237929614,495985.6319187122,74.0,CUBIC
2024-05-30 07:32:55,6184408,1.05873932762e-05,0.0002469300096059,490380.2819406373,75.0,CUBIC
2024-05-30 07:32:56,5453168,1.04980039799e-05,0.0002320407019524,479010.4506845952,76.0,CUBIC
2024-05-30 07:32:57,5473440,1.04154511609e-05,0.0001802140148734,503120.4824455404,77.0,CUBIC
2024-05-30 07:32:58,5495160,1.03338768786e-05,0.0002400711791156,501130.7868240026,78.0,CUBIC
2024-05-30 07:32:59,5522672,1.02532131137e-05,0.0002464243582078,482833.534626112,79.0,CUBIC
2024-05-30 07:33:00,5845344,1.01713002686e-05,0.0002318411229926,521404.9358898338,80.0,CUBIC
2024-05-30 07:33:01,5531592,1.00906026729e-05,0.0002617471208559,512859.60707359697,81.0,CUBIC
2024-05-30 07:33:02,5728288,1.00119966565e-05,0.0002589555809996,492848.1636752678,82.0,CUBIC
2024-05-30 07:33:03,8446184,9.9148341156e-06,0.000258844865503,439526.85411582113,83.0,CUBIC
2024-05-30 07:33:04,5611000,9.8202011543e-06,0.00026290149297,482211.3728103875,84.0,CUBIC
2024-05-30 07:33:05,5854264,9.7443977677e-06,0.0002461359733704,493941.50229882175,85.0,CUBIC
2024-05-30 07:33:06,5595072,9.6698502094e-06,0.0002602840938543,487503.5717582466,86.0,CUBIC
